uza,agency,peak_vehicles,apportionment_to_urbanized_area ,per_apport_operator_veh_rev_hrs
"Minneapolis-St. Paul, MN",Minnesota Valley Transit Authority,78,"$32,382,054 ",5.031%
"Minneapolis-St. Paul, MN",SouthWest Transit,20,"$32,382,054 ",1.712%
"Minneapolis-St. Paul, MN",University of Minnesota Transit,19,"$32,382,054 ",1.283%
"Mission Viejo-Lake Forest-Laguna Niguel, CA",City of Laguna Beach,18,"$5,436,741 ",13.566%
"Mobile, AL",City of Mobile,20,"$1,658,992 ",100.000%
"Modesto, CA",Stanislaus Regional Transit Authority,70,"$2,949,769 ",100.000%
"Montgomery, AL",Autauga County Commission,13,"$1,403,428 ",7.123%
"Montgomery, AL",City of Montgomery,19,"$1,403,428 ",92.877%
"Myrtle Beach-North Myrtle Beach, SC-NC",Waccamaw Regional Transportation Authority,18,"$1,329,539 ",100.000%
"Nashua, NH-MA",City of Nashua,8,"$948,938 ",87.054%
"Nashua, NH-MA",Lowell Regional Transit Authority,42,"$948,938 ",0.057%
"Nashua, NH-MA",Manchester Transit Authority,14,"$948,938 ",12.889%
"Nashville-Davidson, TN",City of Franklin ,6,"$12,861,824 ",4.259%
"Nashville-Davidson, TN",Regional Transportation Authority,13,"$12,861,824 ",1.385%
"Nashville-Davidson, TN",Williamson County,38,"$12,861,824 ",2.366%
"Navarre-Miramar Beach-Destin, FL",Okaloosa County Board of County Commissioners,10,"$1,270,733 ",100.000%
"New Haven, CT",Estuary Transit District,9,"$12,033,945 ",3.017%
"New Haven, CT",Greater New Haven Transit District,51,"$12,033,945 ",16.268%
"New Orleans, LA",Jefferson Parish,33,"$8,740,291 ",17.469%
"New Orleans, LA",New Orleans Regional Transit Authority,95,"$8,740,291 ",64.911%
"New Orleans, LA",River Parishes Transit Authority,3,"$8,740,291 ",0.509%
"New Orleans, LA",St. Bernard Parish,2,"$8,740,291 ",0.329%
"New York-Jersey City-Newark, NY-NJ",Bergen County,4,"$520,665,906 ",0.146%
"New York-Jersey City-Newark, NY-NJ",City of Long Beach,5,"$520,665,906 ",0.051%
"New York-Jersey City-Newark, NY-NJ",County of Hunterdon,11,"$520,665,906 ",0.026%
"New York-Jersey City-Newark, NY-NJ",County of Mercer,24,"$520,665,906 ",0.004%
"New York-Jersey City-Newark, NY-NJ",County of Rockland ,34,"$520,665,906 ",0.236%
"New York-Jersey City-Newark, NY-NJ",New Hampshire Department of Transportation,31,"$520,665,906 ",0.023%
"New York-Jersey City-Newark, NY-NJ",Monmouth County Division of Transportation,10,"$520,665,906 ",0.004%
"New York-Jersey City-Newark, NY-NJ",Orange County,45,"$520,665,906 ",0.054%
"New York-Jersey City-Newark, NY-NJ",Morris County Human Services,26,"$520,665,906 ",0.030%
"New York-Jersey City-Newark, NY-NJ",New York City Department of Transportation,19,"$520,665,906 ",0.062%
"New York-Jersey City-Newark, NY-NJ",Putnam County ,7,"$520,665,906 ",0.039%
"New York-Jersey City-Newark, NY-NJ",Somerset County,10,"$520,665,906 ",0.121%
"New York-Jersey City-Newark, NY-NJ",Town of Clarkstown ,7,"$520,665,906 ",0.021%
"New York-Jersey City-Newark, NY-NJ",Town of Huntington,8,"$520,665,906 ",0.075%
"Oklahoma City, OK",Central Oklahoma Transportation and Parking Authority,49,"$5,640,508 ",83.848%
"Oklahoma City, OK",City of Edmond,7,"$5,640,508 ",7.664%
"Olympia-Lacey, WA",Intercity Transit,48,"$2,371,919 ",100.000%
"Omaha, NE-IA",Nebraska Department of Transportation ,47,"$5,110,349 ",3.715%
"Omaha, NE-IA",Ponca Tribe of Nebraska,24,"$5,110,349 ",0.659%
"Omaha, NE-IA",Transit Authority of Omaha,75,"$5,110,349 ",95.626%
"Orlando, FL",Lake County Board of County Commissioners,10,"$21,592,741 ",1.440%
"Oxnard-San Buenaventura (Ventura), CA",Gold Coast Transit District,49,"$5,014,212 ",71.099%
"Oxnard-San Buenaventura (Ventura), CA",Ventura County Transportation Commission,35,"$5,014,212 ",25.768%
"Palm Bay-Melbourne, FL",Brevard Board of County Commissioners,35,"$3,575,670 ",99.492%
"Palmdale-Lancaster, CA",Antelope Valley Transit Authority,69,"$5,213,076 ",68.753%
"Pensacola, FL-AL","Escambia County Board of County Commissioners, FL",45,"$2,492,511 ",100.000%
"Peoria, IL",Greater Peoria Mass Transit District,45,"$1,897,995 ",100.000%
"Philadelphia, PA-NJ-DE-MD",Borough of Pottstown,5,"$83,645,727 ",0.282%
"Philadelphia, PA-NJ-DE-MD",Cecil County Government ,8,"$83,645,727 ",0.095%
"Philadelphia, PA-NJ-DE-MD",County of Atlantic,33,"$83,645,727 ",0.001%
"Philadelphia, PA-NJ-DE-MD",County of Burlington,6,"$83,645,727 ",0.140%
"Philadelphia, PA-NJ-DE-MD",Cumberland County,20,"$83,645,727 ",0.003%
"Philadelphia, PA-NJ-DE-MD",Gloucester County,22,"$83,645,727 ",0.211%
"Philadelphia, PA-NJ-DE-MD",South Jersey Transportation Authority,28,"$83,645,727 ",0.294%
"Phoenix West-Goodyear-Avondale, AZ",City of Glendale ,3,"$2,913,281 ",0.160%
"Phoenix-Mesa-Scottsdale, AZ",City of Glendale ,3,"$30,677,198 ",0.866%
"Phoenix-Mesa-Scottsdale, AZ",City of Peoria ,6,"$30,677,198 ",0.241%
"Phoenix-Mesa-Scottsdale, AZ",City of Scottsdale ,12,"$30,677,198 ",1.199%
"Phoenix-Mesa-Scottsdale, AZ",Salt River Pima-Maricopa Indian Community,9,"$30,677,198 ",0.072%
"Pittsburgh, PA",Pennsylvania Department of Transportation,2,"$17,482,504 ",0.292%
"Pittsburgh, PA",Beaver County Transit Authority,13,"$17,482,504 ",2.635%
"Pittsburgh, PA",Butler Transit  Authority,9,"$17,482,504 ",0.126%
"Pittsburgh, PA",County of Fayette,8,"$17,482,504 ",0.205%
"Pittsburgh, PA",Mid Mon Valley Transit Authority,22,"$17,482,504 ",0.565%
"Pittsburgh, PA",Southwestern Pennsylvania Commission,11,"$17,482,504 ",0.082%
"Pittsburgh, PA",Washington County Transportation Authority,7,"$17,482,504 ",2.466%
"Pittsburgh, PA",Westmoreland County ,31,"$17,482,504 ",3.395%
"Port St. Lucie, FL",Board of County Commissioners of St. Lucie County,13,"$2,753,366 ",69.694%
"Port St. Lucie, FL",St. Lucie County,10,"$2,753,366 ",6.907%
"Port St. Lucie, FL",Martin County,9,"$2,753,366 ",23.399%
"Portland, ME",Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,11,"$5,987,876 ",12.147%
"Portland, ME",City of South Portland,7,"$5,987,876 ",7.565%
"Portland, ME",Greater Portland Transit District,30,"$5,987,876 ",45.875%
"Portland, ME",Maine Department of Transportation,25,"$5,987,876 ",5.332%
"Portland, ME",Southern Maine Planning and Development Commission,7,"$5,987,876 ",1.104%
"Portland, OR-WA",City of Canby,5,"$25,495,206 ",0.141%
"Portland, OR-WA",City of Wilsonville,13,"$25,495,206 ",0.964%
"Portland, OR-WA",Clackamas County Social Services,5,"$25,495,206 ",0.277%
"Portland, OR-WA",Clark County Public Transportation Benefit Area Authority,95,"$25,495,206 ",10.702%
"Portland, OR-WA",Oregon Department of Transportation,7,"$25,495,206 ",1.825%
"Poughkeepsie-Newburgh, NY",Dutchess County,33,"$9,856,197 ",20.809%
"Poughkeepsie-Newburgh, NY",New York State Department of Transportation,3,"$9,856,197 ",3.119%
"Poughkeepsie-Newburgh, NY",Orange County,45,"$9,856,197 ",9.085%
"Poughkeepsie-Newburgh, NY",Town of Highlands ,1,"$9,856,197 ",0.011%
"Poughkeepsie-Newburgh, NY",Town of Newburgh,3,"$9,856,197 ",0.689%
"Poughkeepsie-Newburgh, NY",Ulster County ,25,"$9,856,197 ",8.286%
"Providence, RI-MA",Greater Attleboro-Taunton Regional Transit Authority,34,"$20,029,468 ",4.734%
"Providence, RI-MA",Southeastern Regional Transit Authority,49,"$20,029,468 ",7.605%
"Raleigh, NC",City of Raleigh,84,"$7,445,767 ",67.799%
"Raleigh, NC",Johnston Co. Council on Aging Inc.,25,"$7,445,767 ",0.229%
"Raleigh, NC",North Carolina State University,30,"$7,445,767 ",6.791%
"Raleigh, NC",Research Triangle Regional Public Transportation Authority,50,"$7,445,767 ",7.311%
"Raleigh, NC",Town of Cary,11,"$7,445,767 ",8.121%
"Raleigh, NC",Town of Morrisville,2,"$7,445,767 ",0.592%
"Raleigh, NC",Wake County,38,"$7,445,767 ",9.156%
"Reading, PA",South Central Transit Authority,75,"$2,077,325 ",100.000%
"Reno, NV-CA",Regional Transportation Commission of Washoe County,58,"$5,415,202 ",99.290%
"Reno, NV-CA",Reno-Sparks Indian Colony,2,"$5,415,202 ",0.710%
"Richmond, VA",City of Petersburg ,13,"$6,598,088 ",7.519%
"Riverside-San Bernardino, CA",City of Corona,5,"$19,026,091 ",2.498%
"Riverside-San Bernardino, CA",City of Riverside,15,"$19,026,091 ",2.666%
"Riverside-San Bernardino, CA",Riverside County Transportation Commission,33,"$19,026,091 ",2.011%
"Riverside-San Bernardino, CA",San Bernardino County Transportation Authority,57,"$19,026,091 ",3.261%
"Riverside-San Bernardino, CA",SunLine Transit Agency,60,"$19,026,091 ",0.375%
"Roanoke, VA",Greater Roanoke Transit Company,24,"$1,423,959 ",100.000%
"Rock Hill, SC",City of Rock Hill,8,"$804,091 ",100.000%
"Rockford, IL",Illinois Department of Transportation,7,"$1,740,817 ",6.841%
"Rockford, IL",Rockford Mass Transit District,24,"$1,740,817 ",93.159%
"Round Lake Beach-McHenry-Grayslake, IL-WI",County of Kenosha,4,"$2,693,403 ",0.883%
"Sacramento, CA","City of Fairfield, California",28,"$14,860,418 ",0.133%
"Sacramento, CA",City of Roseville,18,"$14,860,418 ",4.052%
"Sacramento, CA",County of Placer,21,"$14,860,418 ",3.154%
"Sacramento, CA",El Dorado County Transit Authority,11,"$14,860,418 ",0.273%
"Sacramento, CA","Paratransit, Inc.",18,"$14,860,418 ",1.301%
"Sacramento, CA",Yolo County Transportation District,32,"$14,860,418 ",2.460%
"Salem, OR",Lane Transit District,67,"$2,361,511 ",0.230%
"Salem, OR",Salem Area Mass Transit District,64,"$2,361,511 ",99.770%
"San Antonio, TX",Alamo Area Council of Governments,45,"$18,820,181 ",0.086%
"San Francisco-Oakland, CA","City of Fairfield, California",28,"$79,117,470 ",0.026%
"San Francisco-Oakland, CA",City of Union City,14,"$79,117,470 ",0.614%
"San Francisco-Oakland, CA","Golden Gate Bridge, Highway and Transportation District",42,"$79,117,470 ",1.634%
"San Francisco-Oakland, CA",Marin County Transit District,59,"$79,117,470 ",2.346%
"San Francisco-Oakland, CA",Western Contra Costa Transit Authority,25,"$79,117,470 ",0.976%
"San Juan, PR",Alternativa de Transporte Integrado -ATI,24,"$10,933,071 ",8.569%
"San Juan, PR",Autonomous Municipality of Vega Alta,5,"$10,933,071 ",0.446%
"San Juan, PR",City of San Juan,9,"$10,933,071 ",0.091%
"San Juan, PR",Metropolitan Bus Authority,81,"$10,933,071 ",31.508%
"San Juan, PR",Municipality of Bayamon,9,"$10,933,071 ",2.039%
"San Juan, PR",Municipality of Caguas ,17,"$10,933,071 ",2.060%
"San Juan, PR",Municipality of Carolina,24,"$10,933,071 ",4.504%
"San Juan, PR",Municipality of Catano,1,"$10,933,071 ",0.107%
"San Juan, PR",Municipality of Cayey,4,"$10,933,071 ",0.577%
"San Juan, PR",Municipality of Ciales,1,"$10,933,071 ",0.136%
"San Juan, PR",Municipality of Cidra,5,"$10,933,071 ",0.325%
"San Juan, PR",Municipality of Comerio,3,"$10,933,071 ",0.099%
"San Juan, PR",Municipality of Dorado,6,"$10,933,071 ",1.036%
"San Juan, PR",Municipality of Guaynabo,14,"$10,933,071 ",6.271%
"San Juan, PR",Municipality of Gurabo,3,"$10,933,071 ",0.477%
"San Juan, PR",Municipality of Humacao,3,"$10,933,071 ",0.284%
"San Juan, PR",Municipality of Juncos,5,"$10,933,071 ",0.945%
"San Juan, PR",Municipality of Manati,4,"$10,933,071 ",1.093%
"San Juan, PR",Municipality of Orocovis,2,"$10,933,071 ",0.161%
"San Juan, PR",Municipality of San Lorenzo,7,"$10,933,071 ",1.151%
"San Juan, PR",Municipality of Toa Baja,3,"$10,933,071 ",1.389%
"San Juan, PR",Municipality of Vega Baja,4,"$10,933,071 ",0.820%
"Santa Barbara, CA",City of Lompoc,8,"$2,386,039 ",0.152%
"Santa Barbara, CA",Caltrans,28,"$2,386,039 ",11.387%
"Santa Barbara, CA",Santa Barbara County Association of Governments,9,"$2,386,039 ",2.951%
"Santa Barbara, CA",Santa Barbara Metropolitan Transit District,80,"$2,386,039 ",82.969%
"Santa Clarita, CA",Antelope Valley Transit Authority,69,"$2,977,459 ",2.128%
"Santa Clarita, CA",City of Santa Clarita,66,"$2,977,459 ",93.844%
"Santa Rosa, CA",City of Santa Rosa,21,"$3,643,409 ",45.522%
"Santa Rosa, CA",County of Sonoma ,30,"$3,643,409 ",42.959%
"Savannah, GA",Chatham Area Transit Authority,35,"$1,990,865 ",96.576%
"Scranton, PA",County of Lackawanna Transit System,31,"$2,629,670 ",52.363%
"Scranton, PA",Luzerne County Transportation Authority,32,"$2,629,670 ",47.637%
"Seattle-Tacoma, WA",City of Everett,27,"$55,987,976 ",1.917%
"Seattle-Tacoma, WA",Intercity Transit,48,"$55,987,976 ",0.565%
"Seattle-Tacoma, WA",Kitsap Transit,92,"$55,987,976 ",0.154%
"Seattle-Tacoma, WA",Muckleshoot Indian Tribe,4,"$55,987,976 ",0.113%
"Seattle-Tacoma, WA",Pierce County Transportation Benefit Area Authority,91,"$55,987,976 ",9.292%
"Seattle-Tacoma, WA",Senior Services of Snohomish County,14,"$55,987,976 ",0.086%
"Seattle-Tacoma, WA",Skagit Transit,21,"$55,987,976 ",0.092%
"Shreveport, LA",City of Shreveport,35,"$2,381,102 ",100.000%
"South Bend, IN-MI",City of Niles ,1,"$2,333,266 ",7.550%
"South Bend, IN-MI",South Bend Public Transportation Corporation,42,"$2,333,266 ",87.286%
"Springfield, MA-CT",Massachusetts Department of Transportation,8,"$5,375,536 ",1.109%
"Springfield, MO",City of Springfield,18,"$1,529,532 ",93.452%
"St. Louis, MO-IL",Madison County Transit District,74,"$18,238,727 ",13.040%
"Stockton, CA",San Joaquin Regional Transit District,80,"$6,148,802 ",51.450%
"Stockton, CA",Stanislaus Regional Transit Authority,70,"$6,148,802 ",1.598%
"Tallahassee, FL",City of Tallahassee,57,"$2,293,643 ",100.000%
"Tampa-St. Petersburg, FL","Florida Department of Transportation, District 1 Office",28,"$21,930,571 ",0.042%
"Tampa-St. Petersburg, FL",Hillsborough Area Regional Transit Authority,99,"$21,930,571 ",41.651%
"Tampa-St. Petersburg, FL",Pasco County Board of County Commissioners,25,"$21,930,571 ",4.859%
"The Woodlands-Conroe, TX",City of Conroe,6,"$2,093,174 ",34.939%
"The Woodlands-Conroe, TX",The Woodlands Township,29,"$2,093,174 ",64.345%
"Thousand Oaks, CA",City of Moorpark,2,"$1,407,010 ",13.517%
"Thousand Oaks, CA",City of Thousand Oaks,5,"$1,407,010 ",75.579%
"Thousand Oaks, CA",County of Ventura,3,"$1,407,010 ",6.161%
"Toledo, OH-MI",Lake Erie Transportation Commission,8,"$3,159,401 ",1.463%
"Toledo, OH-MI",Toledo Area Regional Transit Authority,41,"$3,159,401 ",98.000%
"Trenton, NJ",County of Mercer,24,"$8,470,721 ",5.929%
"Tucson, AZ",Pima Association of Governments,13,"$8,901,509 ",0.395%
"Tucson, AZ",Regional Transportation Authority of Pima County,14,"$8,901,509 ",4.157%
"Tucson, AZ",Town of Oro Valley ,28,"$8,901,509 ",3.227%
"Tulsa, OK",Metropolitan Tulsa Transit Authority,57,"$3,941,607 ",100.000%
"Victorville-Hesperia-Apple Valley, CA",Victor Valley Transit Authority,52,"$4,778,061 ",100.000%
"Virginia Beach-Norfolk, VA",City of Suffolk,6,"$9,938,025 ",0.686%
"Virginia Beach-Norfolk, VA",Williamsburg Area Transit Authority,10,"$9,938,025 ",0.243%
"Virginia Beach-Norfolk, VA",York County,3,"$9,938,025 ",0.305%
"Washington-Arlington, DC-VA-MD","Arlington County, Virginia",50,"$97,172,284 ",1.847%
"Washington-Arlington, DC-VA-MD",City of Alexandria ,75,"$97,172,284 ",2.486%
"Washington-Arlington, DC-VA-MD",City of Fairfax,8,"$97,172,284 ",0.315%
"Washington-Arlington, DC-VA-MD",City of Fredericksburg,20,"$97,172,284 ",0.029%
"Washington-Arlington, DC-VA-MD",DDOT - Progressive Transportation Services Administration,57,"$97,172,284 ",1.955%
"Washington-Arlington, DC-VA-MD",Loudoun County,46,"$97,172,284 ",0.824%
"Washington-Arlington, DC-VA-MD",National Capital Region Transportation Planning Board,8,"$97,172,284 ",0.022%
"Washington-Arlington, DC-VA-MD","Prince George's County, Maryland",65,"$97,172,284 ",2.379%
"Wichita, KS","Butler, County of",7,"$2,740,039 ",0.996%
"Wichita, KS",City of Derby,1,"$2,740,039 ",1.404%
"Wichita, KS",City of Wichita ,43,"$2,740,039 ",96.267%
"Wichita, KS",Sedgwick County Transportation - Dept. on Aging,7,"$2,740,039 ",1.333%
"Wilmington, NC",Cape Fear Public Transportation Authority,23,"$1,418,081 ",100.000%
"Winston-Salem, NC",City of Winston Salem,30,"$2,786,569 ",84.799%
"Winston-Salem, NC",Davidson County ,7,"$2,786,569 ",4.609%
"Winston-Salem, NC",Piedmont Authority for Regional Transportation,23,"$2,786,569 ",10.592%
"Winter Haven, FL","Florida Department of Transportation, District 1 Office",28,"$1,559,937 ",2.372%
"Winter Haven, FL",Lakeland Area Mass Transit District ,41,"$1,559,937 ",97.628%
"Worcester, MA-CT",Montachusett Regional Transit Authority,26,"$5,366,055 ",5.503%
"Worcester, MA-CT",Worcester Regional Transit Authority,47,"$5,366,055 ",94.289%
"York, PA",Central Pennsylvania Transportation Authority,46,"$1,927,359 ",100.000%
"Youngstown, OH",Western Reserve Transit Authority,38,"$1,919,625 ",100.000%
